year,sex,age_group,activity,units,activity_long,Number of people,Average
2002,Male,"(45,55]",lsod,Combined,Outdoor tasks,1174,5.980465037338765
2002,Male,"(45,55]",lschd,Combined,Playing with your children,1174,2.9847381200138745
2002,Male,"(45,55]",lsocd,Combined,Playing with other peoples children,1174,0.6393875395987328
2002,Male,"(45,55]",lsvol,Combined,Volunteer/Charity work,1174,0.719168428470754
2002,Male,"(45,55]",lscar,Combined,Caring for disabled spouse/relative,1174,1.3545989304812833
2002,Male,"(55,65]",lsemp,Combined,Paid employment,823,19.151438848920865
2002,Male,"(55,65]",lscom,Combined,Travelling to/from paid employment,823,1.7883260974433188
2002,Male,"(55,65]",lserr,Combined,Household errands,823,3.470023980815348
2002,Male,"(55,65]",lshw,Combined,Housework,823,5.828666666666667
2002,Male,"(55,65]",lsod,Combined,Outdoor tasks,823,8.017948717948718
2002,Male,"(55,65]",lschd,Combined,Playing with your children,823,0.7952871870397643
2002,Male,"(55,65]",lsocd,Combined,Playing with other peoples children,823,0.5593841642228738
2002,Male,"(55,65]",lsvol,Combined,Volunteer/Charity work,823,1.6231820400195218
2002,Male,"(55,65]",lscar,Combined,Caring for disabled spouse/relative,823,1.3768545994065282
2002,Male,"(65,75]",lsemp,Combined,Paid employment,563,3.502092050209205
2002,Male,"(65,75]",lscom,Combined,Travelling to/from paid employment,563,0.28180851063829787
2002,Male,"(65,75]",lserr,Combined,Household errands,563,4.458367768595041
2002,Male,"(65,75]",lshw,Combined,Housework,563,6.8943758573388205
2002,Male,"(65,75]",lsod,Combined,Outdoor tasks,563,10.02138945927447
2002,Male,"(65,75]",lschd,Combined,Playing with your children,563,0.24839400428265523
2002,Male,"(65,75]",lsocd,Combined,Playing with other peoples children,563,0.8132911392405063
2002,Male,"(65,75]",lsvol,Combined,Volunteer/Charity work,563,1.7757383966244726
2002,Male,"(65,75]",lscar,Combined,Caring for disabled spouse/relative,563,1.5746268656716418
2002,Male,"(75,Inf]",lsemp,Combined,Paid employment,291,0.08294930875576037
2002,Male,"(75,Inf]",lscom,Combined,Travelling to/from paid employment,291,0.004672897196261682
2002,Male,"(75,Inf]",lserr,Combined,Household errands,291,3.696983408748115
2002,Male,"(75,Inf]",lshw,Combined,Housework,291,6.120984848484849
2002,Male,"(75,Inf]",lsod,Combined,Outdoor tasks,291,6.097197640117994
2002,Male,"(75,Inf]",lschd,Combined,Playing with your children,291,0.09433962264150944
2002,Male,"(75,Inf]",lsocd,Combined,Playing with other peoples children,291,0.31697819314641745
2002,Male,"(75,Inf]",lsvol,Combined,Volunteer/Charity work,291,0.5834876543209877
2002,Male,"(75,Inf]",lscar,Combined,Caring for disabled spouse/relative,291,1.1314553990610328
2002,Female,"(15,25]",lsemp,Combined,Paid employment,1140,18.78221742260619
2002,Female,"(15,25]",lscom,Combined,Travelling to/from paid employment,1140,2.0568820737495437
2002,Female,"(15,25]",lserr,Combined,Household errands,1140,2.486050724637681
2002,Female,"(15,25]",lshw,Combined,Housework,1140,7.098695962843872
2002,Female,"(15,25]",lsod,Combined,Outdoor tasks,1140,1.2856371490280778
2002,Female,"(15,25]",lschd,Combined,Playing with your children,1140,4.529
2002,Female,"(15,25]",lsocd,Combined,Playing with other peoples children,1140,0.6862151248164464
2002,Female,"(15,25]",lsvol,Combined,Volunteer/Charity work,1140,0.44509587020648966
2002,Female,"(15,25]",lscar,Combined,Caring for disabled spouse/relative,1140,0.22366666666666668
2002,Female,"(25,35]",lsemp,Combined,Paid employment,1331,21.318602334187304
2002,Female,"(25,35]",lscom,Combined,Travelling to/from paid employment,1331,2.160996267585415
2002,Female,"(25,35]",lserr,Combined,Household errands,1331,4.442984693877551
2002,Female,"(25,35]",lshw,Combined,Housework,1331,17.404431272932545
2002,Female,"(25,35]",lsod,Combined,Outdoor tasks,1331,3.0562357305936074
2002,Female,"(25,35]",lschd,Combined,Playing with your children,1331,19.337569383581652
2002,Female,"(25,35]",lsocd,Combined,Playing with other peoples children,1331,0.7802760463045414
2002,Female,"(25,35]",lsvol,Combined,Volunteer/Charity work,1331,0.7210338680926917
2002,Female,"(25,35]",lscar,Combined,Caring for disabled spouse/relative,1331,0.5257108287961283
2002,Female,"(35,45]",lsemp,Combined,Paid employment,1511,21.780411094601288
2002,Female,"(35,45]",lscom,Combined,Travelling to/from paid employment,1511,2.133196312904833
2002,Female,"(35,45]",lserr,Combined,Household errands,1511,4.8425513486760705
2002,Female,"(35,45]",lshw,Combined,Housework,1511,19.695385370643102
2002,Female,"(35,45]",lsod,Combined,Outdoor tasks,1511,3.4681582840236684
2002,Female,"(35,45]",lschd,Combined,Playing with your children,1511,14.300758706467661
2002,Female,"(35,45]",lsocd,Combined,Playing with other peoples children,1511,0.772975374460523
2002,Female,"(35,45]",lsvol,Combined,Volunteer/Charity work,1511,1.224993653211475
2002,Female,"(35,45]",lscar,Combined,Caring for disabled spouse/relative,1511,1.1961089494163424
2002,Female,"(45,55]",lsemp,Combined,Paid employment,1220,22.946475563909775
2002,Female,"(45,55]",lscom,Combined,Travelling to/from paid employment,1220,2.1894397230091283
2002,Female,"(45,55]",lserr,Combined,Household errands,1220,4.8645343367826905
2002,Female,"(45,55]",lshw,Combined,Housework,1220,18.35243410852713
2002,Female,"(45,55]",lsod,Combined,Outdoor tasks,1220,4.100140845070422
2002,Female,"(45,55]",lschd,Combined,Playing with your children,1220,3.6542847833170415
2002,Female,"(45,55]",lsocd,Combined,Playing with other peoples children,1220,1.4657534246575343
2002,Female,"(45,55]",lsvol,Combined,Volunteer/Charity work,1220,1.1692607003891051
2002,Female,"(45,55]",lscar,Combined,Caring for disabled spouse/relative,1220,2.09091796875
2002,Female,"(55,65]",lsemp,Combined,Paid employment,798,8.95404255319149
2002,Female,"(55,65]",lscom,Combined,Travelling to/from paid employment,798,0.6583333333333333
2002,Female,"(55,65]",lserr,Combined,Household errands,798,5.101791607732202
2002,Female,"(55,65]",lshw,Combined,Housework,798,21.154486285448627
2002,Female,"(55,65]",lsod,Combined,Outdoor tasks,798,5.429044289044289
2002,Female,"(55,65]",lschd,Combined,Playing with your children,798,0.678726483357453
2002,Female,"(55,65]",lsocd,Combined,Playing with other peoples children,798,2.4339080459770117
2002,Female,"(55,65]",lsvol,Combined,Volunteer/Charity work,798,1.3557897286821705
2002,Female,"(55,65]",lscar,Combined,Caring for disabled spouse/relative,798,2.3516642547033286
2002,Female,"(65,75]",lsemp,Combined,Paid employment,603,0.6077669902912621
2002,Female,"(65,75]",lscom,Combined,Travelling to/from paid employment,603,0.056966145833333336
2002,Female,"(65,75]",lserr,Combined,Household errands,603,5.031238095238095
2002,Female,"(65,75]",lshw,Combined,Housework,603,21.77360050890585
2002,Female,"(65,75]",lsod,Combined,Outdoor tasks,603,5.008653846153846
2002,Female,"(65,75]",lschd,Combined,Playing with your children,603,0.22440944881889763
2002,Female,"(65,75]",lsocd,Combined,Playing with other peoples children,603,1.1731898238747553
2002,Female,"(65,75]",lsvol,Combined,Volunteer/Charity work,603,1.7477079240340536
2002,Female,"(65,75]",lscar,Combined,Caring for disabled spouse/relative,603,2.4855072463768115
2002,Female,"(75,Inf]",lsemp,Combined,Paid employment,453,0.11041009463722397
2002,Female,"(75,Inf]",lscom,Combined,Travelling to/from paid employment,453,0
2002,Female,"(75,Inf]",lserr,Combined,Household errands,453,4.1567724867724865
2002,Female,"(75,Inf]",lshw,Combined,Housework,453,18.394775339602926
2002,Female,"(75,Inf]",lsod,Combined,Outdoor tasks,453,3.419926393270242
2002,Female,"(75,Inf]",lschd,Combined,Playing with your children,453,0.0889967637540453
2002,Female,"(75,Inf]",lsocd,Combined,Playing with other peoples children,453,0.31290322580645163
2002,Female,"(75,Inf]",lsvol,Combined,Volunteer/Charity work,453,0.8183279742765274
2002,Female,"(75,Inf]",lscar,Combined,Caring for disabled spouse/relative,453,1.6862745098039216
2003,Male,"(15,25]",lsemp,Combined,Paid employment,1139,24.476340326340328
2003,Male,"(15,25]",lscom,Combined,Travelling to/from paid employment,1139,2.3947306791569085
2003,Male,"(15,25]",lserr,Combined,Household errands,1139,1.8047674872997264
2003,Male,"(15,25]",lshw,Combined,Housework,1139,3.536201550387597
2003,Male,"(15,25]",lsod,Combined,Outdoor tasks,1139,2.1845266040688576
2003,Male,"(15,25]",lschd,Combined,Playing with your children,1139,1.482511588706279
2003,Male,"(15,25]",lsocd,Combined,Playing with other peoples children,1139,0.4880201765447667
2003,Male,"(15,25]",lsvol,Combined,Volunteer/Charity work,1139,0.5469563392107473
2003,Male,"(15,25]",lscar,Combined,Caring for disabled spouse/relative,1139,0.13159678102498942
2003,Male,"(25,35]",lsemp,Combined,Paid employment,1162,40.74721923214926
2003,Male,"(25,35]",lscom,Combined,Travelling to/from paid employment,1162,4.145634057971015
2003,Male,"(25,35]",lserr,Combined,Household errands,1162,3.1051903735632185
2003,Male,"(25,35]",lshw,Combined,Housework,1162,5.8211600429645545
2003,Male,"(25,35]",lsod,Combined,Outdoor tasks,1162,4.316486875224739
2003,Male,"(25,35]",lschd,Combined,Playing with your children,1162,7.9064994298745725
2003,Male,"(25,35]",lsocd,Combined,Playing with other peoples children,1162,0.3171021377672209
2003,Male,"(25,35]",lsvol,Combined,Volunteer/Charity work,1162,0.49005122143420016
2003,Male,"(25,35]",lscar,Combined,Caring for disabled spouse/relative,1162,0.14553140096618358
2003,Male,"(35,45]",lsemp,Combined,Paid employment,1346,40.42485250737463
2003,Male,"(35,45]",lscom,Combined,Travelling to/from paid employment,1346,4.079248366013072
2003,Male,"(35,45]",lserr,Combined,Household errands,1346,3.2938099520383695
2003,Male,"(35,45]",lshw,Combined,Housework,1346,6.3705185185185185
2003,Male,"(35,45]",lsod,Combined,Outdoor tasks,1346,5.253321523472099
2003,Male,"(35,45]",lschd,Combined,Playing with your children,1346,7.795220810647308
2003,Male,"(35,45]",lsocd,Combined,Playing with other peoples children,1346,0.37057773450178516
2003,Male,"(35,45]",lsvol,Combined,Volunteer/Charity work,1346,0.7344002586485613
2003,Male,"(35,45]",lscar,Combined,Caring for disabled spouse/relative,1346,0.6176026272577997
2003,Male,"(45,55]",lsemp,Combined,Paid employment,1155,37.582315389924084
2003,Male,"(45,55]",lscom,Combined,Travelling to/from paid employment,1155,3.729647099930119
2003,Male,"(45,55]",lserr,Combined,Household errands,1155,3.2684610075914424
2003,Male,"(45,55]",lshw,Combined,Housework,1155,5.947970863683663
2003,Male,"(45,55]",lsod,Combined,Outdoor tasks,1155,5.698033126293996
2003,Male,"(45,55]",lschd,Combined,Playing with your children,1155,3.457212055974166
2003,Male,"(45,55]",lsocd,Combined,Playing with other peoples children,1155,0.4047350620067644
2003,Male,"(45,55]",lsvol,Combined,Volunteer/Charity work,1155,0.8806231563421829
2003,Male,"(45,55]",lscar,Combined,Caring for disabled spouse/relative,1155,1.4051691372101862
2003,Male,"(55,65]",lsemp,Combined,Paid employment,796,22.013253612356753
2003,Male,"(55,65]",lscom,Combined,Travelling to/from paid employment,796,1.8475720789074355
2003,Male,"(55,65]",lserr,Combined,Household errands,796,3.688144841269841
2003,Male,"(55,65]",lshw,Combined,Housework,796,6.275320512820513
2003,Male,"(55,65]",lsod,Combined,Outdoor tasks,796,8.099877989263055
2003,Male,"(55,65]",lschd,Combined,Playing with your children,796,0.8203001579778831
2003,Male,"(55,65]",lsocd,Combined,Playing with other peoples children,796,0.6883942766295708
2003,Male,"(55,65]",lsvol,Combined,Volunteer/Charity work,796,1.6011440457618304
2003,Male,"(55,65]",lscar,Combined,Caring for disabled spouse/relative,796,2.0329931972789117
2003,Male,"(65,75]",lsemp,Combined,Paid employment,538,3.7482155603140614
2003,Male,"(65,75]",lscom,Combined,Travelling to/from paid employment,538,0.26673866090712745
2003,Male,"(65,75]",lserr,Combined,Household errands,538,4.110212765957447
2003,Male,"(65,75]",lshw,Combined,Housework,538,6.714001421464108
2003,Male,"(65,75]",lsod,Combined,Outdoor tasks,538,9.942436974789915
2003,Male,"(65,75]",lschd,Combined,Playing with your children,538,0.189010989010989
2003,Male,"(65,75]",lsocd,Combined,Playing with other peoples children,538,0.7792397660818714
2003,Male,"(65,75]",lsvol,Combined,Volunteer/Charity work,538,1.5667396061269148
2003,Male,"(65,75]",lscar,Combined,Caring for disabled spouse/relative,538,1.8265486725663718
2003,Male,"(75,Inf]",lsemp,Combined,Paid employment,291,0.07657657657657657
2003,Male,"(75,Inf]",lscom,Combined,Travelling to/from paid employment,291,0.00837138508371385
2003,Male,"(75,Inf]",lserr,Combined,Household errands,291,4.036304347826087
2003,Male,"(75,Inf]",lshw,Combined,Housework,291,7.749853801169591
2003,Male,"(75,Inf]",lsod,Combined,Outdoor tasks,291,6.5247150997151
2003,Male,"(75,Inf]",lschd,Combined,Playing with your children,291,0.06108597285067873
2003,Male,"(75,Inf]",lsocd,Combined,Playing with other peoples children,291,0.36199095022624433
2003,Male,"(75,Inf]",lsvol,Combined,Volunteer/Charity work,291,0.6131221719457014
2003,Male,"(75,Inf]",lscar,Combined,Caring for disabled spouse/relative,291,1.295045045045045
2003,Female,"(15,25]",lsemp,Combined,Paid employment,1164,18.750524109014677
2003,Female,"(15,25]",lscom,Combined,Travelling to/from paid employment,1164,1.9591869060190075
2003,Female,"(15,25]",lserr,Combined,Household errands,1164,2.561884669479606
2003,Female,"(15,25]",lshw,Combined,Housework,1164,7.161820699203877
2003,Female,"(15,25]",lsod,Combined,Outdoor tasks,1164,1.2740917107583773
2003,Female,"(15,25]",lschd,Combined,Playing with your children,1164,4.57296255506608
2003,Female,"(15,25]",lsocd,Combined,Playing with other peoples children,1164,0.7836068563092633
2003,Female,"(15,25]",lsvol,Combined,Volunteer/Charity work,1164,0.4753567508232711
2003,Female,"(15,25]",lscar,Combined,Caring for disabled spouse/relative,1164,0.43655197928227896
2003,Female,"(25,35]",lsemp,Combined,Paid employment,1245,21.82877358490566
2003,Female,"(25,35]",lscom,Combined,Travelling to/from paid employment,1245,2.2536755386565273
2003,Female,"(25,35]",lserr,Combined,Household errands,1245,4.8340174129353235
2003,Female,"(25,35]",lshw,Combined,Housework,1245,16.783873456790122
2003,Female,"(25,35]",lsod,Combined,Outdoor tasks,1245,2.794470551378446
2003,Female,"(25,35]",lschd,Combined,Playing with your children,1245,20.05093217614915
2003,Female,"(25,35]",lsocd,Combined,Playing with other peoples children,1245,0.6165826612903226
2003,Female,"(25,35]",lsvol,Combined,Volunteer/Charity work,1245,0.7439211756847027
2003,Female,"(25,35]",lscar,Combined,Caring for disabled spouse/relative,1245,0.31243628950050967
2003,Female,"(35,45]",lsemp,Combined,Paid employment,1437,21.784162778641782
2003,Female,"(35,45]",lscom,Combined,Travelling to/from paid employment,1437,2.3338570306362922
2003,Female,"(35,45]",lserr,Combined,Household errands,1437,5.133747090768037
2003,Female,"(35,45]",lshw,Combined,Housework,1437,19.47845936213992
2003,Female,"(35,45]",lsod,Combined,Outdoor tasks,1437,3.410106521174331
2003,Female,"(35,45]",lschd,Combined,Playing with your children,1437,15.338989739542226
2003,Female,"(35,45]",lsocd,Combined,Playing with other peoples children,1437,0.8831926863572434
2003,Female,"(35,45]",lsvol,Combined,Volunteer/Charity work,1437,1.2122231450719823
2003,Female,"(35,45]",lscar,Combined,Caring for disabled spouse/relative,1437,1.2194492254733218
2003,Female,"(45,55]",lsemp,Combined,Paid employment,1206,23.855117237008873
2003,Female,"(45,55]",lscom,Combined,Travelling to/from paid employment,1206,2.144599807135969
2003,Female,"(45,55]",lserr,Combined,Household errands,1206,4.968791627021884
2003,Female,"(45,55]",lshw,Combined,Housework,1206,17.277872744539412
2003,Female,"(45,55]",lsod,Combined,Outdoor tasks,1206,4.112548076923077
2003,Female,"(45,55]",lschd,Combined,Playing with your children,1206,4.170223577235772
2003,Female,"(45,55]",lsocd,Combined,Playing with other peoples children,1206,1.4709728033472804
2003,Female,"(45,55]",lsvol,Combined,Volunteer/Charity work,1206,1.1108523119392684
2003,Female,"(45,55]",lscar,Combined,Caring for disabled spouse/relative,1206,2.0889874739039667
2003,Female,"(55,65]",lsemp,Combined,Paid employment,815,10.962153772683859
2003,Female,"(55,65]",lscom,Combined,Travelling to/from paid employment,815,0.9465658021133525
2003,Female,"(55,65]",lserr,Combined,Household errands,815,5.304184198223469
2003,Female,"(55,65]",lshw,Combined,Housework,815,20.308344827586208
2003,Female,"(55,65]",lsod,Combined,Outdoor tasks,815,5.284315100514259
2003,Female,"(55,65]",lschd,Combined,Playing with your children,815,0.6309880239520959
2003,Female,"(55,65]",lsocd,Combined,Playing with other peoples children,815,1.9148202137998056
2003,Female,"(55,65]",lsvol,Combined,Volunteer/Charity work,815,1.7413986354775828
2003,Female,"(55,65]",lscar,Combined,Caring for disabled spouse/relative,815,2.2153560830860535
2003,Female,"(65,75]",lsemp,Combined,Paid employment,594,0.8523421588594705
2003,Female,"(65,75]",lscom,Combined,Travelling to/from paid employment,594,0.09238387978142076
2003,Female,"(65,75]",lserr,Combined,Household errands,594,5.386759813705922
2003,Female,"(65,75]",lshw,Combined,Housework,594,22.19747871643746
2003,Female,"(65,75]",lsod,Combined,Outdoor tasks,594,4.790829986613119
2003,Female,"(65,75]",lschd,Combined,Playing with your children,594,0.39397089397089397
2003,Female,"(65,75]",lsocd,Combined,Playing with other peoples children,594,1.5037832310838446
2003,Female,"(65,75]",lsvol,Combined,Volunteer/Charity work,594,1.8333333333333333
2003,Female,"(65,75]",lscar,Combined,Caring for disabled spouse/relative,594,2.380878284923928
2003,Female,"(75,Inf]",lsemp,Combined,Paid employment,446,0.2358490566037736
2003,Female,"(75,Inf]",lscom,Combined,Travelling to/from paid employment,446,0.025559105431309903
2003,Female,"(75,Inf]",lserr,Combined,Household errands,446,3.9276057791537666
2003,Female,"(75,Inf]",lshw,Combined,Housework,446,16.729331306990883
2003,Female,"(75,Inf]",lsod,Combined,Outdoor tasks,446,3.1728395061728394
2003,Female,"(75,Inf]",lschd,Combined,Playing with your children,446,0.04391025641025641
2003,Female,"(75,Inf]",lsocd,Combined,Playing with other peoples children,446,0.14743589743589744
2003,Female,"(75,Inf]",lsvol,Combined,Volunteer/Charity work,446,1.0973101265822784
2003,Female,"(75,Inf]",lscar,Combined,Caring for disabled spouse/relative,446,1.4469453376205788
2004,Male,"(15,25]",lsemp,Combined,Paid employment,1179,26.56838348765432
2004,Male,"(15,25]",lscom,Combined,Travelling to/from paid employment,1179,2.4534892787524365
2004,Male,"(15,25]",lserr,Combined,Household errands,1179,1.894640062597809
2004,Male,"(15,25]",lshw,Combined,Housework,1179,3.570381062355658
2004,Male,"(15,25]",lsod,Combined,Outdoor tasks,1179,2.1374562427071178
2004,Male,"(15,25]",lschd,Combined,Playing with your children,1179,1.290343258891646
2004,Male,"(15,25]",lsocd,Combined,Playing with other peoples children,1179,0.3940491052850603
2004,Male,"(15,25]",lsvol,Combined,Volunteer/Charity work,1179,0.4472325485336638
2004,Male,"(15,25]",lscar,Combined,Caring for disabled spouse/relative,1179,0.1648891677122543
2004,Male,"(25,35]",lsemp,Combined,Paid employment,1082,41.2716784591195
2004,Male,"(25,35]",lscom,Combined,Travelling to/from paid employment,1082,4.242339667458432
2004,Male,"(25,35]",lserr,Combined,Household errands,1082,3.1179730799683294
2004,Male,"(25,35]",lshw,Combined,Housework,1082,5.499116607773852
2004,Male,"(25,35]",lsod,Combined,Outdoor tasks,1082,3.9726500789889414
2004,Male,"(25,35]",lschd,Combined,Playing with your children,1082,7.99936788874842
2004,Male,"(25,35]",lsocd,Combined,Playing with other peoples children,1082,0.4139109347442681
2004,Male,"(25,35]",lsvol,Combined,Volunteer/Charity work,1082,0.47636484687083885
2004,Male,"(25,35]",lscar,Combined,Caring for disabled spouse/relative,1082,0.46461949265687585
2004,Male,"(35,45]",lsemp,Combined,Paid employment,1306,41.755698136266425
2004,Male,"(35,45]",lscom,Combined,Travelling to/from paid employment,1306,4.133924680983505
2004,Male,"(35,45]",lserr,Combined,Household errands,1306,3.1616293532338307
2004,Male,"(35,45]",lshw,Combined,Housework,1306,6.235036832412523
2004,Male,"(35,45]",lsod,Combined,Outdoor tasks,1306,5.211876155268023
2004,Male,"(35,45]",lschd,Combined,Playing with your children,1306,8.072902711323763
2004,Male,"(35,45]",lsocd,Combined,Playing with other peoples children,1306,0.36617492096944154
2004,Male,"(35,45]",lsvol,Combined,Volunteer/Charity work,1306,0.8557459328487366
2004,Male,"(35,45]",lscar,Combined,Caring for disabled spouse/relative,1306,0.7523809523809524
2004,Male,"(45,55]",lsemp,Combined,Paid employment,1105,37.5467298402081
2004,Male,"(45,55]",lscom,Combined,Travelling to/from paid employment,1105,3.6777153558052436
2004,Male,"(45,55]",lserr,Combined,Household errands,1105,3.3306421677802525
2004,Male,"(45,55]",lshw,Combined,Housework,1105,6.423672566371682
2004,Male,"(45,55]",lsod,Combined,Outdoor tasks,1105,5.588512763596005
2004,Male,"(45,55]",lschd,Combined,Playing with your children,1105,4.044386372435153
2004,Male,"(45,55]",lsocd,Combined,Playing with other peoples children,1105,0.373167701863354
2004,Male,"(45,55]",lsvol,Combined,Volunteer/Charity work,1105,0.746116504854369
2004,Male,"(45,55]",lscar,Combined,Caring for disabled spouse/relative,1105,1.7783312577833126
2004,Male,"(55,65]",lsemp,Combined,Paid employment,797,21.808124076809452
2004,Male,"(55,65]",lscom,Combined,Travelling to/from paid employment,797,2.2289974937343358
2004,Male,"(55,65]",lserr,Combined,Household errands,797,3.7071252465483235
2004,Male,"(55,65]",lshw,Combined,Housework,797,6.091740850642927
2004,Male,"(55,65]",lsod,Combined,Outdoor tasks,797,7.317375366568915
2004,Male,"(55,65]",lschd,Combined,Playing with your children,797,0.9340836012861736
2004,Male,"(55,65]",lsocd,Combined,Playing with other peoples children,797,0.6916531604538088
2004,Male,"(55,65]",lsvol,Combined,Volunteer/Charity work,797,1.6513470681458002
2004,Male,"(55,65]",lscar,Combined,Caring for disabled spouse/relative,797,1.1682108626198082
2004,Male,"(65,75]",lsemp,Combined,Paid employment,531,3.392699115044248
2004,Male,"(65,75]",lscom,Combined,Travelling to/from paid employment,531,0.32296296296296295
2004,Male,"(65,75]",lserr,Combined,Household errands,531,4.370888399412628
2004,Male,"(65,75]",lshw,Combined,Housework,531,7.040423976608187
2004,Male,"(65,75]",lsod,Combined,Outdoor tasks,531,9.792077087794432
2004,Male,"(65,75]",lschd,Combined,Playing with your children,531,0.3303437967115097
2004,Male,"(65,75]",lsocd,Combined,Playing with other peoples children,531,0.6096471471471472
2004,Male,"(65,75]",lsvol,Combined,Volunteer/Charity work,531,1.9088963963963963
2004,Male,"(65,75]",lscar,Combined,Caring for disabled spouse/relative,531,1.00150489089541
2004,Male,"(75,Inf]",lsemp,Combined,Paid employment,304,1.0614035087719298
2004,Male,"(75,Inf]",lscom,Combined,Travelling to/from paid employment,304,0.06950672645739911
2004,Male,"(75,Inf]",lserr,Combined,Household errands,304,4.512787356321839
2004,Male,"(75,Inf]",lshw,Combined,Housework,304,8.77
2004,Male,"(75,Inf]",lsod,Combined,Outdoor tasks,304,8.333476394849786
2004,Male,"(75,Inf]",lschd,Combined,Playing with your children,304,0.3236607142857143
2004,Male,"(75,Inf]",lsocd,Combined,Playing with other peoples children,304,0.43777777777777777
2004,Male,"(75,Inf]",lsvol,Combined,Volunteer/Charity work,304,0.9725925925925926
2004,Male,"(75,Inf]",lscar,Combined,Caring for disabled spouse/relative,304,1.854090909090909
2004,Female,"(15,25]",lsemp,Combined,Paid employment,1145,19.11521739130435
2004,Female,"(15,25]",lscom,Combined,Travelling to/from paid employment,1145,2.1102592186929536
2004,Female,"(15,25]",lserr,Combined,Household errands,1145,2.7938163190633003
2004,Female,"(15,25]",lshw,Combined,Housework,1145,7.288105567606652
2004,Female,"(15,25]",lsod,Combined,Outdoor tasks,1145,1.2842815463165573
2004,Female,"(15,25]",lschd,Combined,Playing with your children,1145,4.372746451860376
2004,Female,"(15,25]",lsocd,Combined,Playing with other peoples children,1145,0.7958094144661308
2004,Female,"(15,25]",lsvol,Combined,Volunteer/Charity work,1145,0.6374668183541904
2004,Female,"(15,25]",lscar,Combined,Caring for disabled spouse/relative,1145,0.3492571428571429
2004,Female,"(25,35]",lsemp,Combined,Paid employment,1148,21.84400406504065
2004,Female,"(25,35]",lscom,Combined,Travelling to/from paid employment,1148,2.381799591002045
2004,Female,"(25,35]",lserr,Combined,Household errands,1148,4.826466598847067
2004,Female,"(25,35]",lshw,Combined,Housework,1148,17.074131596526385
2004,Female,"(25,35]",lsod,Combined,Outdoor tasks,1148,2.8466153846153848
2004,Female,"(25,35]",lschd,Combined,Playing with your children,1148,21.513144058885384
2004,Female,"(25,35]",lsocd,Combined,Playing with other peoples children,1148,0.674981440237565
2004,Female,"(25,35]",lsvol,Combined,Volunteer/Charity work,1148,0.6674944812362031
2004,Female,"(25,35]",lscar,Combined,Caring for disabled spouse/relative,1148,0.3884484711211778
2004,Female,"(35,45]",lsemp,Combined,Paid employment,1400,22.813505747126438
2004,Female,"(35,45]",lscom,Combined,Travelling to/from paid employment,1400,2.368390325271059
2004,Female,"(35,45]",lserr,Combined,Household errands,1400,5.478440118951068
2004,Female,"(35,45]",lshw,Combined,Housework,1400,18.412859833198816
